level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3
232,0,0,0,1305,864900,1751,0,0,52,33,6,0,6,72,2310,25539686,16951289,9268171,0,4,109,0,0,0,778,648300,905,0,0,39,21,1,0,3,20,814,0,60,0,0,0,0,0,837,0,0,54,23,3,0,2,2,463,2
62,2,0,0,0,97000,355,0,0,0,0,13,0,1,40,704,4788325,2688668,3261952,0,8,49,0,0,0,0,110100,528,0,0,5,3,2,0,0,0,312,5,46,0,0,0,1055,186100,565,0,0,0,0,4,0,2,0,336,3
240,34,14,14,1990,826400,1838,30,0,84,34,0,0,4,40,2333,28594708,1364334,258294,0,10,2,0,14,14,0,120000,0,0,0,5,4,0,0,1,0,135,0,8,0,0,0,0,0,120,0,0,0,0,0,0,1,0,56,0
349,202,50,50,5290,3018400,5153,128,2,20,11,18,8,4,83,4995,30792681,10078631,3068231,0,14,150,17,22,22,600,1169500,1671,8,3,3,1,5,0,1,18,1390,7,75,2,14,14,0,465000,1611,0,0,0,0,3,0,0,2,612,6
54,9,0,0,560,99660,239,6,0,0,0,15,0,5,12,587,3015521,375359,2938029,0,8,1,0,4,4,120,0,58,0,0,0,0,2,0,1,0,44,2,36,4,5,5,560,163560,580,4,0,5,3,5,0,2,0,382,10
81,0,0,0,0,146300,376,0,0,13,10,9,0,4,40,775,4656764,1069799,4177261,0,0,1,0,0,0,0,60300,138,0,0,5,5,2,0,3,0,36,0,71,2,0,0,1100,235800,728,0,0,11,7,5,0,3,0,523,0
133,209,0,0,0,1207400,1108,33,0,2,2,1,0,3,80,2498,30178130,15903807,31016864,0,6,70,110,0,0,800,1095000,1603,41,0,3,1,4,0,0,80,1597,6,33,71,0,0,1100,390000,860,62,1,0,0,2,0,1,54,966,5
14,13,0,0,0,14160,22,0,0,0,0,6,0,6,7,229,1302898,3497700,3510271,0,0,43,29,0,0,0,91460,0,3,0,0,0,3,0,5,0,450,0,32,29,0,0,180,142200,602,0,0,3,3,3,0,4,5,448,9
80,165,33,33,830,562400,1746,142,1,12,9,20,1,2,80,2472,23902156,8005414,7032703,1,13,31,47,30,30,800,540000,616,44,0,7,2,10,0,3,15,868,6,4,30,7,7,0,0,550,18,0,21,7,6,0,1,27,470,3
142,24,37,37,2151,847400,1813,6,0,50,28,9,0,9,52,1809,16322293,14819157,10072412,6,14,104,15,13,13,1620,855000,1567,6,1,54,33,9,0,4,18,1143,7,155,6,17,17,1834,864400,1830,3,0,20,8,7,0,7,28,1546,7
30,60,0,0,250,84200,278,0,0,0,0,5,0,3,35,780,5472724,10219040,5596542,0,6,44,93,16,16,540,257400,890,0,0,8,4,6,0,9,52,1281,13,60,24,0,0,850,351700,874,0,1,1,1,3,0,3,20,642,1
60,1,10,10,0,105620,298,1,1,0,0,0,0,2,40,695,2873552,104949,1006659,0,7,4,0,0,0,0,29880,0,0,0,0,0,0,0,1,0,32,0,5,0,3,3,0,10800,175,0,0,6,4,0,0,1,0,74,2
30,0,0,0,0,16160,12,0,0,0,0,0,0,1,5,219,1393132,1235036,3605768,0,0,6,0,0,0,0,3660,15,0,0,0,0,0,0,1,0,43,1,68,3,0,0,586,149340,350,1,0,5,4,0,0,3,0,473,4
171,20,7,7,0,0,0,18,0,9,8,0,0,19,40,2038,17975376,20487460,11059651,0,0,296,175,18,18,0,0,0,171,0,1,1,0,0,8,40,3317,0,135,164,1,1,0,0,0,156,0,0,0,0,0,6,40,2462,0
21,25,0,0,0,19820,14,7,0,0,0,2,0,5,2,329,1631971,3777328,5294076,5,0,49,54,0,0,199,161400,247,13,0,0,0,2,0,6,3,690,5,49,67,0,0,0,336180,475,28,0,1,1,3,0,4,8,767,0
31,0,0,0,0,11420,75,0,0,0,0,7,0,1,0,241,1888026,0,2680389,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,7,4,4,420,164540,391,0,0,0,0,27,0,2,3,526,9
85,15,3,3,0,365400,988,9,0,39,23,9,0,7,37,1002,11188728,8125606,1508254,0,11,150,7,10,10,2310,729820,1716,3,0,3,3,4,0,4,80,1515,6,14,0,15,15,0,240000,952,0,0,0,0,2,0,2,0,229,6
49,1,1,1,0,44420,174,1,0,0,0,0,0,3,16,460,2221294,821611,3381399,0,6,21,0,0,0,0,35100,190,0,0,1,1,0,0,1,0,150,4,31,0,0,0,0,127080,237,0,0,10,7,0,0,3,9,287,4
335,13,32,32,0,1522400,3442,12,0,0,0,11,0,3,82,2966,17931406,10479061,13677031,0,14,180,11,20,20,0,991400,2310,10,0,12,9,7,0,4,40,1474,7,275,26,20,20,0,1680000,3195,25,0,0,0,9,0,4,76,2250,7
30,39,6,6,4500,227960,4934,1,1,6,6,6,0,2,40,841,4729426,0,3099058,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,1,1,250,544320,713,0,0,0,0,2,0,3,44,628,6
31,1,7,7,0,77600,172,1,0,0,0,7,0,3,10,426,2394855,239696,1893487,0,7,2,0,0,0,0,6600,10,0,0,0,0,1,0,1,0,27,1,17,4,6,6,60,57960,203,1,0,0,0,6,0,3,9,307,7
72,11,23,23,420,170860,488,2,0,9,5,26,0,10,36,1068,8209460,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,3,0,0,850,169260,455,1,0,3,2,7,0,3,0,710,3552490,11276707,4649369,0,4,158,2,20,20,1200,768240,1848,1,0,5,4,8,0,12,20,1370,7,52,5,12,12,1450,268300,1142,2,0,0,0,3,0,7,0,515,6
62,2,0,0,580,119460,262,0,0,0,0,0,0,4,16,623,4458703,2849858,4419998,0,9,9,1,9,9,300,121000,323,0,0,6,3,0,0,4,13,281,6,3,0,17,17,420,103740,315,0,0,12,7,0,0,2,0,231,4
15,0,0,0,0,5700,0,0,0,0,0,3,0,2,0,108,786997,4127562,498676,0,0,73,0,1,1,400,227960,813,0,0,5,2,10,0,5,15,560,11,8,0,0,0,750,28740,293,0,0,0,0,3,0,3,0,64,1
13,0,0,0,0,3720,0,0,0,0,0,0,0,1,0,104,1153875,0,431678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0
10,0,0,0,0,14160,30,0,0,0,0,2,0,1,0,89,358697,0,1252937,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,1,500,30860,78,0,0,0,0,5,0,3,10,249,3
23,0,0,0,250,33420,154,0,0,0,0,3,0,1,10,247,1087246,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,3720,0,0,0,0,0,0,0,2,0,81,313763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,0,0,0,8100,0,8,0,0,0,0,0,3,0,140,2618658,0,12412744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,0,0,0,71420,96,34,0,0,0,2,0,2,25,459,0
7,7,0,0,0,8100,40,3,0,0,0,1,0,1,0,108,1345829,2713231,8167620,0,3,12,28,0,0,0,86400,117,2,0,0,0,3,0,3,16,366,3,22,37,5,5,0,51800,314,2,0,0,0,9,0,4,40,687,7
192,7,14,14,2100,694400,1892,6,1,13,9,13,0,6,40,1677,12569496,8142412,10975645,0,12,33,12,36,36,500,507000,1691,7,0,11,9,8,0,6,80,1021,6,80,8,32,32,2834,915000,1957,5,0,13,12,7,0,5,80,1276,8
137,1,40,40,1010,382400,1417,0,0,9,3,30,0,11,40,1494,10578765,10098613,10337478,0,9,63,0,30,30,2180,585000,1543,0,1,0,0,20,0,11,80,1324,8,41,1,18,18,1450,564400,1291,0,0,8,6,11,0,12,80,1098,4
