"gaid","country","level_cnt","ads_cnt","pvp_cnt","pvp_won_cnt","gem_spend","coin_spend","gem_earn","ads_reward_cnt","org_hero_cnt","level_e_try_cnt","level_e_cnt","idle_cnt","purchase_times","login_cnt","level_h_cnt","log_num","d1_duration","d2_duration","d3_duration"
"4ae051f6-e20e-4800-9a93-b1ccb0a07f3e","US","14","17",,,"1000","57720","609","16","1",,,"3","1","5","1","364","350102","24778131","909668"
"e5b28d37-986b-4752-aea3-8923cd97c3b8","US","275","419","38","38","4560","3603400","4282","305",,"102","49","60",,"31","179","6507","26811812","55779987","21269569"
"a8f9f8ff-0b7c-4bac-9618-51d02db41177","US","121","3","1","1","1463","315700","1240","3",,"1","1","10",,"13","5","907","3816486","1950356","1929069"
"0b761bb0-fea0-4deb-b833-c7a245def957","US","489","190",,,"6113","3980900","5734","77","3","13","8","50",,"11","158","6226","26684135","10153201","12313081"
"78093395-c039-4832-8204-9f4bddf5eac5","US","138","72","29","29","1940","1147400","2225","71","1","16","11","21",,"24","82","2343","2974959","8064000","3039573"
"f41087de-5e9e-4340-b374-4800d84a6d4e","US","100","55","11","11","1120","390100","1088","26",,"1","1","14",,"9","10","1211","516019","4820509","2767017"
"7970a309-487f-49d4-ac42-b9ff7504dc51","US","86","10","15","15","874","177960","598","8","1",,,"8",,"7","4","810","2905494","67045","2839194"
"674cd043-0e63-4043-9dd3-62e28fa7e42f","US","310","8","14","14","2690","1139600","2626",,"2","31","20",,"1","23","47","2541","12975323","4845640","10695229"
"de61b112-2e8e-4afc-86a5-1734acb9f641","US","76","17","4","4","1810","377420","1509","1","1","22","10","10",,"5","160","1697","4221933","5326822","4382078"
"be1bda7b-5aae-475d-ba18-e56f12de51c7","US","89","7","18","18","1740","772400","2094","6","1","1","1","11",,"11","171","1893","718969","3190525","3827686"
"e9c3e4b0-d7c5-45c3-a594-ea61772f1524","US","145","53","6","6",,"774000","1514","52",,"29","20","12",,"4","75","1893","13960530",,"2220375"
"40574189-8b49-499b-a5e7-427f4c20bf76","US","219","255",,,"2230","1836400","2355","126","1","42","25","26","1","8","32","3450","2452246","18426252","12416971"
"c6bb9384-528d-4a19-908e-716cb37b1f0a","US","54","9",,,,"231660","85","7","1",,,"3","1","2",,"484","1662007","2311938",
"77ccc7f2-678b-486c-8954-03d0fd4b01e4","US","422","57","64","64","6050","3242900","6053","57","1","157","70","18",,"17","137","4862","21985563","21053545","13232018"
"67aab8c2-e0d0-4b9f-932c-d033f81bbe85","US","145","23","22","22","1394","532300","1097","15",,"9","8","1",,"17","15","1506","2457237","6925932","2147308"
"fc459d0a-41e4-47a1-9577-1b0a2ae6d185","US","99","96","19","19","0","331400","1072","50",,"3","1","15",,"5","62","1805","7715656","1198881","1269802"
"54923ac1-eaf6-4641-92e3-548de96ce626","US","80",,,,"0","57200","468",,,,,"9",,"3","38","714","3494947",,
"e07a1209-ecd4-4692-a2c4-d3320d9a9946","US","100","24","1","1","250","246920","658",,,"21","14",,,"2","40","1100","5135097","2238355","2305910"
"449d566e-9ac9-458f-a65b-59f161dc94ab","US","1263","116","26","26","11828","6865800","11525","74","5","5","4","17",,"16","76","10297","27831727","27831268","13368256"
"9a1f3445-d494-46fa-b9d9-f10c2e55ce6f","US","97","94","8","8","1180","607400","789","47",,"7","6","1",,"15","52","1767","6687409","3413202","843557"
"dd0b6112-5be0-4347-89e3-de28d9483d0b","US","404","109","15","15","3684","2403100","3481","108",,"5","4","8",,"2","85","3830","1320059","13825299","41349740"
"9933a17b-cbc0-4067-9548-ec7ef85be4e2","US","300","376","25","25","1216","3098100","3140","213",,"5","2","15",,"10","89","4890","13260387","11959227","4576726"
"3f54da8b-1b7e-449c-af59-4d00f9716e58","US","64","6","4","4","920","146300","658","3",,,,"6",,"12","40","846","3125476","1051209","270760"
"41a4f049-b287-4d7a-94ad-f15e5f9c7c22","US","420","42","41","41","950","1394800","5156","2",,"99","52","34",,"14","114","4111","18852241","17567063","12879232"
"cbba05e1-2606-4349-ba2c-fcc339ddacab","US","34","4",,,,"17820","10",,,,,"3",,"1",,"260","2777885",,
"624414e4-0bb6-4611-8f6d-edc52e34f131","US","28","21",,,,"26400","35","21",,,,"4",,"4",,"339","260007","5103128","451851"
"487e1a9f-f919-41f9-b1a8-e83814350616","US","93","1","32","32","500","324600","1209","1",,"6","4","2",,"3","63","1375","9287022","2709970",
"40210091-034c-4275-bb85-c13dd8dab6d6","US","142",,"4","4","393","306000","845",,,"15","8","5",,"5","12","1080","8422400","3512063","20289"
"9157c3f6-90c6-447b-a5ad-bbe8b8de3062","US","31","31",,,"200","50600","210","15","1",,,"11","1","3",,"460","2196361",,"1315197"
"32c280ef-52d4-46f5-9ad3-cacde0dd1a93","US","66","8","23","23","710","247920","697","1",,,,"6",,"4","52","978","4030555",,"530837"
"4a149897-8513-4566-aa00-e14e5565385f","US","28","1",,,"0","57200","166","1",,,,"12",,"7","8","322","404356","286410","12898307"
"eb39a65a-c937-4adc-b4fb-cc26804dee29","US","97","5","9","9","0","260400","1293",,,,,"8",,"5","15","848","2178899",,"1100313"
"5060e581-3dfe-4e71-a52f-44f2b5e593dc","US","150","257","38","38","2710","1799500","2536","87",,"50","29","25",,"5","85","3547","5938410","10216675","12868109"
"37356f8a-18a3-4900-9b0c-dd1eb79ef5c5","US","251","27","55","55","4038","1684200","4162",,"1","78","42","38",,"21","117","3481","27431891","12703459","2185954"
"f85f67c6-7546-4d7b-a454-b9d88e671f36","US","310","8","18","18","3210","1209000","3341","2",,"12","12","16",,"22","96","2915","285457","8842201","7807831"
"79e15e27-95fc-47ce-b70b-ec225dd1d5b1","US","73","78","50","50","1269","579500","1188","77",,"36","10","10",,"14","44","1707","4301609","3578149","12361451"
"7dfc9e33-e1ae-420a-9a09-5f3b220d67b2","US","856","17","37","37","10121","4512500","10134","17","3","6","6","51",,"10","237","7519","23356257","10483277","2612842"
