"gaid","country","level_cnt","ads_cnt","pvp_cnt","pvp_won_cnt","gem_spend","coin_spend","gem_earn","ads_reward_cnt","org_hero_cnt","level_e_try_cnt","level_e_cnt","idle_cnt","purchase_times","login_cnt","level_h_cnt","log_num","d1_duration","d2_duration","d3_duration","willpay","daily_task_cnt"
"6c836ef4-f764-4de9-b6ce-94bc474824ef","GP","100","104",,,"0","367900","557","41",,"5","3","5",,"4","10","1298","6920800","1328449",,,"5"
"8850276e-c50b-416f-8782-4492526e1c94","UA","126","1","25","25","1640","457400","1301",,,"20","10","6",,"5","40","1305","9312893",,,,"8"
"0c2b71c4-db54-4f5d-8756-b54270a8a33d","IQ","120","21",,,"1350","324900","1070",,,"2","2","31",,"8","6","980","3883095","1038410","953947",,"15"
"f0c5a88e-1d7f-490c-880c-e194fe1cc238","KZ","93","5","8","8","1000","277400","631","5",,"24","14",,,"15","40","1075","2492310","7597763","1383474",,"9"
"cd0fbacc-4021-4008-99a6-451edcc9b8c8","IN","145","1","5","5","1460","592400","1485",,,"6","4","4",,"7","66","1575","7501251","3881754",,,"9"
"6b1b0b77-ed4b-4d4e-a74b-d3d6e769c509","EG","96","2",,,"1153","299300","1048",,,"11","7","26",,"6","64","1124","5085900","3905710","2843993",,"11"
"0ec9b864-df6c-4593-a445-20ac9b33743d","CL","214","40","9","9","0","802400","1532",,,"38","15",,,"7","20","1837","13585041","4612136",,,"15"
"403e92ec-a152-4feb-adbe-0163e0bdcc60","ID","89","1","20","20","400","181220","460",,,"8","7","3",,"4","17","813","6103140","31264",,,"7"
"81033cd7-ce92-43a1-80c8-ed874b977942","IR","141","4","17","17","1983","601300","1603","2","1","39","21","18",,"7","85","1863","21127514","1727581",,,"12"
"c8968cda-58bd-4e6f-8b52-d664fdb1014b","IN","75","2","13","13","520","170460","398","1",,"30","20","5",,"8","18","872","1049259","5633637","3927612",,"7"
"e42306b4-511f-4dce-965c-f0e40b137108","ID","172","13","47","47","1120","712600","2523",,,"6","4","7",,"8","120","2217","10033148","11149398","1159739",,"18"
"3bc69821-97a5-41a4-83df-63b2c07d9c57","MX","127","8","7","7","399","416800","1194","6",,"2","2","4",,"7","61","1284","2961213","4482496",,,"13"
"3ba5d458-4c15-4932-9c6b-a40270434c90","MX","95",,,,"200","135500","655",,,,,"16",,"15","30","799","1307294","1525411","2455555",,
"1ab9f9df-d755-44f5-ba24-4b3b75fa4950","RO","185","11","30","30","3060","1111400","3100",,,"12","10","10",,"5","85","2137","3195766","7189498","1800087",,"22"
"2fde4280-9429-46c5-a1e5-8b2016bfba2f","BD","67","4","13","13","1100","294300","930",,,,,"8",,"3","82","1119","5767364","4404425",,,"8"
"37c5a178-57b8-474a-be25-adc4b0adc878","ID","231","2","60","60","2445","864400","2895","2","1","36","14",,,"21","171","3128","14144180","9995222","8218216",,"15"
"b3cbd312-4ef5-4c76-8133-95eb9c54cf2d","RO","110","1",,,"1394","352400","1319",,,"4","3","18",,"11","69","1222","1247019","4190492","525585",,"13"
"8b8d7996-40ed-48b6-873f-c186cc4f7163","AR","130","120","2","2","180","952400","1476","10",,"15","10","8",,"9","57","1993","10148695","5799112",,,"12"
"e5c37838-9153-4f42-a155-e2937895c5de","AR","153","14","8","8","1070","352900","1092","14","1","2","1","12",,"5","40","1464","18390740","93131","127763",,"9"
"e6617bd1-cb74-4ba0-8151-861c598cf523","UA","74","10","3","3","870","193700","640","3",,"4","3","6",,"3","46","915","3355581","2391565",,,"12"
"46d4d976-e5b6-4397-ad81-121fa4e9b44b","PK","88","14","8","8","898","233660","928","3",,"36","13","9",,"9","58","1174","10402267","4799534",,,"11"
"c270e96a-f314-47fe-aee8-588e1b095aab","KR","120","18",,,"1340","309300","979","18",,"7","5","14",,"13","8","1096","5260885","1457302","1787420",,"14"
"85222ca2-842c-4959-8ce4-b7ea014fc380","VN","146","98","20","20",,,,"98",,"13","9",,,"10","20","1932","14825861",,,,
"16129001-9dcc-4850-ba28-a08fedb1d317","VN","172","3",,,"540","382400","752",,,,,"1",,"22","4","1355","2477913","5927202","2483583",,
"20f8faa9-b0dd-48ea-8038-d9a2e6e5b04f","TR","130","47",,,,"397000","600",,,,,,,"7",,"1064","473683","1334408","5393432",,
"3f247449-7b40-4e83-8117-82ed8cf08f2e","DE","238","6",,,"2754","842600","2845","5","1","14","9","19","2","11","40","1928","11295352","3071309","101799","2","9"
"3fbd63b4-cce9-47a2-a263-cc888ccf34a4","CA","112","154","40","40","1910","1156500","2139","154",,"2","2","32",,"17","72","2641","6375624","4131200","5163365",,"25"
"1fb84553-0ce4-42d9-b402-2a16e866bcc3","BD","70","3",,,"400","148000","330",,,"25","14","10",,"1","17","634","8289712",,,,"5"
"6af2f577-bf56-4b32-a815-909f61036788","ID","202",,,,"1740","727400","1748",,,"193","100","13",,"13","55","2077","9563729","32341703","7615444",,"10"
"6182a2ac-9d96-4efd-b1ac-cc526cf81841","ME","241",,"11","11","1250","817400","2038",,,"42","31",,,"7","121","2407","9669362","11675674",,,"10"
"9e57a00e-2ad7-415a-970e-a2ef6a00e74f","ID","176","3","36","36","2564","714700","2283",,,"6","5","13",,"9","46","1800","1128770","7243011","1813715",,"16"
"ecb500ca-214b-4eb2-b75b-02b1a65e3b30","RU","270","71","1","1","2220","1442400","2270","71","2","20","13","21",,"12",,"2374","3373430","10676707","4902241",,"14"
"919c1c95-24d4-41d4-8da6-e2939907fe19","ES","212","20","44","44","4460","1320100","4073",,"1","7","3","39",,"9","196","3215","8769306","5571302","9631521",,"28"
"e483c8ad-d6d6-4747-8b9a-fd0e0f313598","BR","106",,"9","9","1330","337400","1413",,,"28","20","17",,"12","17","1016","2676045","3599816","4203813",,"10"
"5c565108-5954-49cc-b136-da857b841374","JP","63","54",,,,"133500","78","19",,,,,,"3","3","753","837129","17289751",,,"4"
"9a35c7f2-40c0-480c-bb96-70e1fa48d4f7","ID","182","4","20","20","1588","698700","1790",,,"34","17","5",,"9","40","1683","3866657","13784523","120240",,"13"
"5b25002c-58a4-4a50-92c4-8aa2c72d90a5","ID","195",,,,"2410","716800","2158",,,"12","6","5",,"9","90","1988","6649776","3904385","3291300",,"13"
"efc71712-310c-41ae-9f84-b880195b8f7b","TR","171","90","3","3","0","907400","1351","53",,"7","6","4",,"12","37","2016","11097703","4399179",,,"6"
"64374e9e-53aa-47b7-962b-26dd5af79647","ID","124","27","1","1","360","319400","1108","2",,"18","13","10",,"6","59","1406","2738167","7240449","1313084",,"13"
"4a58260b-210a-4ba6-8335-33741541da50","PH","174","72","20","20","849","877400","1381","72",,"16","10","8",,"6","40","2076","12704113","4952486",,,"11"
"780205f6-f0af-42e9-846d-65625a6481ea","PH","78","3","2","2","700","262400","645",,,"10","5","9",,"6","77","1070","3506709","1096266","2740613",,
"c41270ea-a7c7-43b9-b6fa-9cd4120898cb","ID","123","8","3","3","984","282900","677",,,"1","1","13",,"6","8","1077","4365961","2910979",,,"9"
"15cf9ba5-9819-4ca9-8df9-50b94ceab395","","88","2",,,"122","133820","382",,,"13","7","2",,"5","19","718","1812710","5437279",,,
"d219110e-63c5-4160-8795-606b8a92591d","ID","121","1",,,"440","220420","805",,,"19","6","8",,"11","16","984","3482748","5318835","19791",,"6"
"2699b974-e889-4869-a11e-a81f540a8a5d","CL","126","138","22","22","1200","1162400","1880","39",,"11","8","26",,"23","126","2677","7392755","8330129","1645190",,"15"
"04d5a553-16d0-4314-89b2-e1374675321d","BE","134","5",,,"37","277800","693","4",,"11","10",,,"15","5","1014","1633719","5291572","1448189",,"8"
