level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,0
60,1,4,4,550,75660,204,1,0,0,0,2,0,1,15,521,2037396,4652258,391792,0,7,91,3,3,3,1050,382240,1086,1,0,7,6,5,0,7,20,774,4,10,0,0,0,0,75000,581,0,0,0,0,3,0,2,0,73,4,0
44,64,3,3,250,137700,298,34,0,0,0,9,0,1,40,1046,9946741,13982944,11005832,5,7,65,134,7,7,1080,803500,1331,46,0,14,11,10,0,5,75,1818,7,103,160,7,7,1140,1200000,1672,66,2,0,0,10,0,7,80,2215,7,0
85,1,3,3,840,92860,549,1,0,1,0,7,0,6,40,846,4395538,3412052,9168744,0,6,30,0,0,0,780,319140,672,0,0,14,9,3,0,5,2,303,5,95,0,29,29,1510,699900,1554,0,1,9,4,5,0,8,50,1235,8,0
62,74,0,0,250,169160,209,2,0,0,0,5,0,2,10,892,6115758,217454,218065,0,6,3,3,0,0,0,0,120,0,0,0,0,0,0,1,0,38,0,3,3,0,0,0,64500,102,0,0,0,0,1,0,1,0,38,1,0
86,8,2,2,1010,179120,740,0,1,4,2,0,1,9,40,956,6049046,6946814,5814819,1,8,95,3,32,32,828,496080,1020,0,0,3,2,0,0,3,41,1081,5,50,1,19,19,530,255000,615,0,0,5,1,0,0,1,11,524,0,0
258,14,23,23,1665,612420,1853,4,0,3,2,5,0,3,42,2073,13512659,9816155,0,0,11,224,2,23,23,2604,1278580,2912,1,0,0,0,2,0,4,78,2053,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,0,0,0,37060,69,1,0,0,0,22,0,1,13,336,8691022,7577864,1520029,0,0,42,5,4,4,719,232140,714,4,0,12,8,25,0,1,35,620,3,0,0,4,4,0,0,0,0,0,2,1,0,0,0,0,34,0,0
43,4,8,8,0,89700,154,0,0,0,0,6,0,1,10,453,2619132,214908,2025753,0,6,2,0,2,2,0,8700,0,0,0,0,0,0,0,1,0,31,0,27,3,3,3,660,125920,519,0,0,4,4,3,0,2,20,381,7,0
120,10,17,17,990,200060,820,1,0,14,12,12,0,3,35,1207,38597023,5748937,0,0,13,62,12,5,5,803,537900,902,12,0,2,2,4,0,2,30,741,0,0,0,0,0,60,333240,913,0,0,0,0,3,0,1,0,2,6,0
14,13,0,0,400,21900,40,3,0,0,0,1,0,1,0,200,1220969,499503,0,0,3,1,1,0,0,0,4500,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,4,20,20,1680,547400,1362,2,0,13,7,13,0,11,69,1549,12034885,4532864,3636912,0,7,47,3,20,20,1080,264000,1073,3,1,0,0,5,0,7,4,558,6,19,2,8,8,910,246000,921,0,0,2,2,4,0,5,51,618,6,0
17,3,0,0,0,14160,25,1,0,0,0,2,0,1,0,151,921624,82176,11847319,0,2,0,0,0,0,0,3660,0,0,0,0,0,0,0,1,0,3,0,183,64,26,26,380,814580,1733,2,0,5,4,14,0,4,41,2000,13,0
131,44,10,10,1040,150500,1056,2,0,6,4,23,0,6,38,1346,7398615,4911959,0,0,13,24,15,20,20,420,240000,1682,2,0,2,2,10,0,1,44,608,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,0,0,0,5700,0,0,0,0,0,3,0,2,0,180,1598754,10928855,4020979,0,0,101,7,2,2,600,361700,938,0,0,10,7,4,0,3,52,1050,5,9,0,0,0,580,180000,733,0,0,7,2,4,0,8,17,222,4,0
100,5,40,40,1260,337400,1440,5,1,7,7,4,0,3,81,1474,6657175,8112989,1212586,0,14,117,8,20,20,1060,1011000,2047,8,0,1,1,5,0,2,119,1762,7,37,2,0,0,0,147000,744,2,1,0,0,2,0,2,17,344,3,0
114,5,0,0,240,337400,563,0,0,19,13,8,0,8,7,890,9224267,4246000,11426978,0,6,54,2,0,0,660,300000,870,0,0,6,4,3,0,3,0,403,4,184,12,0,0,2504,989500,1909,0,3,7,5,8,0,11,4,1339,5,0
37,0,0,0,0,44520,15,0,0,0,0,16,0,1,0,227,1670844,2323077,3870840,0,1,10,1,1,1,400,19800,204,0,0,0,0,2,0,4,0,101,2,44,1,0,0,540,228180,640,0,0,3,2,10,0,5,14,483,9,0
105,22,3,3,790,206600,981,2,1,0,0,2,1,8,40,1176,6467536,50218279,25633798,9,7,581,555,38,38,5470,5558300,5205,328,2,62,38,6,0,13,40,7608,6,245,274,11,11,3840,3895000,3573,159,0,23,15,8,0,9,120,4003,8,0
77,1,0,0,400,55600,140,0,0,9,8,5,0,1,0,490,4358571,12722450,14820596,0,1,91,0,0,0,400,417200,1097,0,0,37,20,4,0,4,11,798,5,62,3,0,0,1800,478900,1169,0,0,33,20,7,0,2,7,699,3,0
16,4,0,0,0,14260,40,3,0,0,0,2,0,2,0,178,1143547,9264223,8148854,0,3,90,7,22,22,1339,493540,1346,7,0,6,3,27,0,2,120,1559,11,73,9,23,23,2146,685000,2038,9,2,6,3,14,0,5,80,1263,7,0
20,0,0,0,0,5800,0,0,0,0,0,0,0,2,0,143,856438,0,11428845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,32,32,20,151820,348,0,0,22,13,1,0,10,41,972,0,0
28,0,0,0,0,23900,74,0,0,0,0,3,0,2,2,231,1998112,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,7,3,3,1440,456300,1073,0,0,12,6,7,0,5,40,1501,9963837,10228684,4384386,0,6,99,8,4,4,1940,809900,1943,0,1,9,2,23,0,9,81,1424,6,35,1,1,1,875,225000,920,0,1,5,1,4,0,3,15,437,4,0
43,1,0,0,450,31320,90,0,0,0,0,7,0,3,1,305,1833333,0,429492,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,13100,60,0,0,0,0,4,0,1,0,75,0,0
27,5,0,0,0,22400,39,0,0,0,0,0,0,1,10,277,1432169,2715849,27200411,0,1,38,15,5,5,0,103220,323,0,0,0,0,4,0,1,13,438,6,283,88,30,30,3870,2522280,3436,10,2,32,22,36,0,12,80,3248,8,0
18,13,0,0,0,31320,40,12,0,0,0,0,0,1,12,288,1416068,12793246,9327584,1,0,76,31,1,1,655,300280,519,22,0,33,10,2,0,3,17,864,6,87,46,17,17,1754,1095000,1638,41,1,9,0,5,1,2,80,1608,7,0
42,5,2,2,0,51200,48,5,0,0,0,0,0,5,11,408,2426283,3366591,60613,0,0,48,7,11,11,320,163500,274,6,0,3,2,0,0,7,2,455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0
256,66,2,2,2391,1339000,2065,63,0,16,8,79,0,10,62,2689,20550604,11199009,437339,0,6,36,23,0,0,540,269900,578,19,0,0,0,13,0,8,4,494,1,3,3,0,0,120,45000,100,3,0,0,0,0,0,1,2,72,1,0
43,1,0,0,0,96500,278,0,0,0,0,0,0,4,40,559,4102735,14420299,18410368,0,6,120,9,20,20,1200,840900,1480,0,0,68,56,0,0,5,50,1449,6,4,0,0,0,0,135000,400,0,0,67,52,0,0,2,23,361,2,0
60,33,30,30,660,231500,329,31,0,0,0,8,0,12,20,1012,7065253,1713908,6066942,0,7,5,1,26,26,750,27000,695,1,0,0,0,3,0,6,7,278,3,29,1,22,22,1020,360120,1014,0,1,14,10,9,0,6,40,685,9,0
14,1,0,0,0,8100,57,0,0,0,0,2,0,1,10,174,1098176,0,0,0,1,0,0,0,0,0,9720,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,4,1,1,0,221020,318,3,0,56,26,5,0,2,23,692,15998670,21182564,10892373,0,0,106,0,0,0,370,522480,1475,0,0,43,29,14,0,2,63,1198,0,3,0,0,0,250,120000,319,0,0,48,30,1,0,4,24,299,0,0
26,3,0,0,250,16160,80,0,0,0,0,1,0,1,0,210,1084997,4353148,9055187,0,4,43,0,0,0,400,119340,458,0,0,15,6,4,0,0,40,566,6,86,8,0,0,872,250720,847,1,0,0,0,4,0,1,31,763,4,0
8,0,0,0,0,2160,0,0,0,0,0,0,0,2,0,71,397407,7134606,4115122,0,0,74,0,0,0,0,113000,198,0,0,13,8,0,0,6,3,535,4,56,0,0,0,0,207240,690,0,0,8,3,0,0,1,0,352,4,0
31,0,0,0,0,33320,112,0,0,0,0,1,0,1,5,239,979350,704669,0,0,5,15,1,0,0,0,11100,46,0,0,0,0,2,0,3,0,103,1,0,0,0,0,0,0,60,0,0,0,0,1,0,0,0,0,0,0
