country,level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
EG,92,1,27,27,530,217920,404,0,0,19,8,1,0,2,6,919,12098281,3703241,0,0,5,34,0,3,3,370,57480,683,0,0,4,0,1,0,1,0,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TR,146,0,17,17,1359,400600,1052,0,0,16,7,17,0,19,45,1414,4578171,4217523,0,0,6,6,0,0,0,200,180000,562,0,0,24,9,8,0,12,28,334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RS,178,5,0,0,1134,600900,1461,0,0,17,7,19,0,9,40,1803,16368779,10343086,4721083,0,6,167,0,0,0,620,544900,1695,0,0,3,0,25,0,19,0,1260,0,29,2,0,0,10,390000,813,0,0,0,0,19,0,15,0,406,0,1,1,1,1
RU,48,3,12,12,300,87800,171,3,0,0,0,21,0,2,13,524,2962091,3505568,6877525,0,7,42,7,20,20,600,189600,533,6,0,3,2,9,0,1,18,576,7,86,11,20,20,1673,645000,1758,11,1,5,4,14,0,2,80,1294,7,1,1,1,1
RU,42,29,39,39,760,181420,702,1,0,0,0,3,0,3,25,936,4834575,1194519,0,0,12,23,10,0,0,250,52440,130,3,0,0,0,0,0,2,0,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
RU,93,6,23,23,291,166820,491,6,0,6,3,27,0,1,40,1012,6293598,11768608,19746065,0,5,129,22,10,10,1881,655080,1449,21,1,12,7,58,0,7,1,1173,6,219,57,3,3,2878,1583500,2806,53,0,10,6,93,0,10,80,2766,6,1,1,1,1
TR,70,6,8,8,840,188020,507,4,0,8,6,5,0,4,14,812,5712811,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
JP,43,21,0,0,500,81420,142,20,0,0,0,0,0,1,15,513,2493651,5283609,617970,0,5,27,5,2,2,300,97140,289,5,0,15,9,3,0,2,25,413,1,1,1,0,0,0,0,10,1,0,2,1,0,0,2,0,40,1,1,1,1,1
BR,56,2,0,0,0,38060,0,0,0,0,0,3,0,4,0,339,1992032,13297869,6265715,0,0,140,8,0,0,1395,800440,1802,2,1,0,0,13,0,8,116,1653,0,126,3,3,3,2020,513500,1702,2,1,0,0,6,0,5,0,920,9,1,1,1,1
,66,3,0,0,500,71760,249,3,0,0,0,7,0,1,9,485,2586611,1979329,864101,0,4,10,0,0,0,60,0,192,0,0,7,5,2,0,2,0,101,4,9,0,0,0,300,97500,267,0,0,1,0,1,0,1,0,90,3,1,1,1,1
