,level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
11694,121,37,0,0,450,287120,697,0,0,8,5,6,0,8,19,1114,8883266,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11695,180,33,26,26,1960,676800,1665,32,0,8,5,13,0,5,14,1699,11569306,2598642,11075764,0,13,49,0,19,19,1080,202000,1004,0,1,0,0,5,0,4,12,540,6,281,1,23,23,2214,1519500,3958,1,2,1,1,9,2,3,128,2665,8,1,1,1,1
11696,187,2,2,2,970,742400,1824,0,0,79,43,9,0,9,59,1759,23385034,1791847,6997378,0,12,13,0,4,4,1620,0,518,0,1,6,3,2,0,1,0,167,3,49,0,6,6,900,407000,1445,0,2,18,9,4,0,2,60,797,7,1,1,1,1
11697,73,3,2,2,100,96900,289,0,0,4,3,25,0,3,41,764,4366838,4676655,698076,0,0,50,4,3,3,812,253400,753,0,0,2,2,32,0,3,30,716,6,8,0,0,0,310,30000,254,0,0,0,0,4,0,1,0,100,1,1,1,1,1
11698,160,11,29,29,1036,490000,1350,11,0,2,2,11,0,4,37,1662,12769672,1297872,701377,0,9,10,2,3,3,374,139800,371,2,0,0,0,2,0,1,0,131,0,8,1,2,2,420,60000,132,1,0,0,0,1,0,1,0,106,0,1,1,1,1
11699,136,0,7,7,765,341400,780,0,0,9,3,13,0,7,37,1339,13327492,1428373,1308647,0,0,1,0,0,0,0,90000,160,0,0,0,0,0,0,1,26,176,0,3,0,0,0,0,15000,137,0,0,2,0,5,0,2,4,62,0,1,1,1,1
11700,106,7,0,0,485,197100,541,0,0,12,11,1,0,6,9,854,11491116,3008499,2758564,0,6,19,0,0,0,60,61620,263,0,0,6,2,1,0,2,0,148,1,15,0,0,0,300,72080,151,0,0,4,1,6,0,2,0,117,0,1,1,1,1
11701,221,7,14,14,1800,837400,1624,0,0,71,40,0,0,6,47,2030,26692184,13649365,0,0,13,183,0,9,9,200,769100,1420,0,1,29,24,9,0,6,10,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11702,30,1,0,0,0,33820,136,0,0,0,0,0,0,3,27,392,1971914,3022408,4766799,0,0,52,0,0,0,416,110280,335,0,0,5,2,1,0,2,28,511,4,15,0,0,0,0,103160,120,0,0,14,12,0,0,1,0,145,0,1,1,1,1
11703,175,15,0,0,0,587020,1345,0,0,21,16,3,0,2,60,1570,13479034,8070018,7168295,3,6,169,8,11,11,2250,960000,2741,0,1,0,0,6,1,4,39,1461,11,74,4,0,0,4120,962000,2176,0,1,0,0,3,0,3,150,1508,8,1,1,1,1
11704,74,23,1,1,734,248120,668,0,0,29,12,0,0,2,71,1114,13625613,16401380,0,0,10,29,0,5,5,0,299580,370,0,0,66,30,0,0,1,39,569,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11705,24,0,0,0,0,5800,0,0,0,0,0,0,0,3,0,172,539951,2607990,818910,0,0,36,0,0,0,87,55800,98,0,0,0,0,0,0,0,23,358,0,10,0,0,0,0,14460,120,0,0,3,2,0,0,1,0,82,0,1,1,1,1
11706,46,0,0,0,0,31320,0,0,0,0,0,0,0,9,0,515,4777600,1559561,0,0,0,8,0,0,0,0,17280,0,0,0,0,0,0,0,4,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
11707,169,5,1,1,582,615500,1596,0,0,48,26,6,0,8,64,1560,23264453,324510,3551999,0,7,2,0,0,0,0,0,257,0,0,0,0,1,0,1,0,29,3,31,0,0,0,0,210000,322,0,0,7,6,1,0,1,0,260,2,1,1,1,1
11708,153,12,1,1,1694,581500,1332,3,1,10,5,0,0,2,85,1783,13521497,4203229,0,0,8,25,0,21,21,130,132000,237,0,1,5,3,3,0,2,5,409,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11709,69,2,8,8,250,115160,317,0,0,0,0,0,0,4,16,662,4332115,2298248,0,0,8,31,0,8,8,0,147240,443,0,0,3,2,0,0,2,17,372,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11710,155,10,20,20,1677,570500,1309,0,0,18,12,12,0,25,41,1604,13178211,3936300,396015,0,7,30,7,22,22,1730,270000,1812,1,0,1,1,7,0,10,20,643,13,4,0,0,0,240,30000,150,0,0,0,0,2,0,1,0,50,0,1,1,1,1
11711,88,7,21,21,610,307400,491,0,1,53,35,3,0,5,20,1032,21490611,1350569,3753242,0,6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,36,0,7,7,0,105000,385,0,0,7,3,0,0,3,0,297,3,1,1,1,1
11712,71,73,30,30,380,307400,760,72,0,0,0,23,0,3,10,1327,7119440,2742644,1057672,0,13,29,34,12,12,709,255000,414,29,0,0,0,4,0,2,11,554,7,22,5,10,10,60,172500,415,4,0,3,2,2,0,1,0,302,5,1,1,1,1
11713,138,5,0,0,720,337400,754,0,0,12,7,15,0,6,25,1210,11636282,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11714,105,2,2,2,1280,367500,1015,0,0,8,6,10,0,2,80,1221,7741383,980251,14634,0,5,26,1,1,1,0,0,291,0,0,0,0,1,0,2,9,208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,1
11715,97,3,1,1,610,182520,510,3,0,3,2,1,0,7,13,780,4579690,2742051,602845,0,6,45,0,0,0,540,216180,540,0,0,0,0,0,0,5,19,447,5,13,0,0,0,300,62000,430,0,0,0,0,0,0,2,0,124,2,1,1,1,1
11716,77,3,2,2,570,164220,463,0,0,10,9,11,0,3,25,736,6502178,1009203,349849,0,6,15,4,1,1,377,90300,361,0,0,0,0,3,0,2,0,148,4,6,0,0,0,0,14580,187,0,0,0,0,2,0,2,0,52,3,1,1,1,1
11717,60,3,8,8,220,129420,323,1,0,0,0,8,0,4,40,731,4902913,3428640,0,0,7,10,1,0,0,0,122700,518,0,0,12,5,2,0,2,40,345,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11718,81,15,19,19,837,153320,568,0,0,7,6,3,0,5,29,1004,6042138,13976,928885,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,9,0,5,5,310,163940,350,0,0,1,0,1,0,1,5,184,7,1,1,1,1
11719,185,8,10,10,2630,895000,2343,0,0,15,11,16,0,6,120,2359,13180337,6188985,3798716,0,13,80,0,21,21,850,395700,940,0,1,8,6,10,0,1,0,720,1,36,2,20,20,1070,426000,870,0,1,0,0,3,0,1,47,812,7,1,1,1,1
11720,90,0,1,1,120,115160,441,0,0,0,0,10,0,6,11,675,3887709,7497854,579657,0,4,11,0,0,0,0,327240,600,0,0,28,14,2,0,4,77,622,0,6,0,0,0,60,0,216,0,0,3,0,1,0,1,0,62,0,1,1,1,1
11721,117,3,1,1,850,207000,528,1,0,7,6,1,0,5,6,827,5786503,0,352348,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,13320,135,0,0,0,0,0,0,2,0,62,1,1,1,1,1
11722,110,5,7,7,1220,346400,835,0,0,8,6,10,0,5,50,1157,7218504,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11723,127,3,0,0,767,356500,768,0,0,4,1,0,0,2,41,1151,8730208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11724,100,1,5,5,951,184320,574,1,0,6,5,26,0,4,27,862,5319129,6065,1802486,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,12,0,4,4,60,25380,261,0,0,4,1,5,0,3,0,134,0,1,1,1,1
11725,78,1,2,2,600,169160,424,0,0,69,17,9,0,4,20,803,26274811,6926271,0,0,4,47,0,14,14,600,288240,932,0,0,11,3,4,0,4,10,539,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11726,168,5,3,3,1250,427400,1077,1,0,20,12,2,0,4,40,1466,13327192,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
