level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3
85,17,0,0,250,201160,464,1,0,13,11,2,0,1,40,890,6962140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,3720,110,0,0,0,0,2,0,1,14,226,1084741,6350874,1255547,0,4,113,6,10,10,686,287200,804,0,0,1,1,0,0,6,2,948,8,12,0,1,1,0,96000,60,0,1,0,0,0,0,5,0,166,2
50,1,21,21,660,98660,292,1,0,0,0,10,0,12,19,741,5834950,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2,37,37,1954,773400,2034,0,0,30,19,8,0,5,120,2171,15919649,1544878,211938,0,13,4,0,5,5,400,62000,405,0,0,3,1,1,0,1,20,194,3,3,0,0,0,0,75000,252,0,0,0,0,1,0,1,0,37,0
136,5,0,0,2,251620,762,0,0,2,2,5,0,4,10,932,5181083,2368791,0,0,6,14,7,6,6,0,209580,560,0,0,1,0,1,0,2,20,367,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4,0,0,0,71460,391,0,0,0,0,3,0,1,40,656,3670884,3594294,0,0,5,35,4,0,0,400,84760,1045,4,0,8,4,4,0,3,0,334,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,5,1,1,0,206700,508,3,0,5,5,1,0,4,40,933,6259328,0,1917,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
137,5,16,16,765,307800,677,0,0,6,5,1,0,3,8,1019,7397835,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6,7,7,982,234120,689,3,0,2,2,11,0,3,26,929,6302555,1575919,70044,0,11,9,0,0,0,180,49980,237,0,0,5,4,3,0,1,0,101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0
386,2,1,1,2000,1147500,2395,0,0,1,1,90,0,4,15,2732,21472903,5486668,1148623,0,0,84,0,0,0,0,330000,903,0,0,0,0,17,0,3,0,589,0,31,0,0,0,0,120000,329,0,0,0,0,9,0,1,0,190,0
70,6,2,2,370,87900,150,2,0,7,6,2,0,5,17,648,4646948,311117,2085626,0,5,0,0,0,0,300,8700,287,0,0,1,1,1,0,1,0,10,3,19,3,0,0,155,137160,289,1,0,2,2,3,0,1,0,146,4
161,2,19,19,1000,604400,1248,0,1,41,25,1,0,11,55,1654,18798510,13624080,2067736,0,11,39,0,0,0,800,135000,240,0,0,42,25,0,0,3,0,342,0,3,0,0,0,0,155000,25,0,0,5,5,0,0,1,0,71,1
137,3,1,1,1310,293700,923,1,1,16,10,7,0,4,40,1231,11131329,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,796,120600,467,0,0,5,4,4,0,1,52,841,4703290,10072956,5033480,0,5,30,4,15,15,835,410600,830,1,1,16,9,13,0,6,75,902,7,12,8,1,1,880,250400,863,1,0,5,1,17,0,3,43,491,6
127,8,0,0,1050,204660,695,3,1,14,8,22,0,3,4,923,9095302,2847765,799356,0,5,9,4,0,0,60,90500,135,0,0,9,0,2,0,2,0,119,1,0,0,0,0,200,0,108,0,0,2,0,1,0,1,0,12,0
70,2,5,5,493,138200,411,2,0,7,3,0,0,1,40,750,5429139,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,11,11,870,169160,580,0,0,8,6,9,0,4,40,883,6201643,2198884,818252,0,7,2,0,2,2,460,64500,369,0,0,6,5,2,0,0,2,79,4,2,0,1,1,0,28740,84,0,0,2,0,1,0,2,0,38,0
76,0,8,8,600,251320,339,0,0,29,20,4,0,3,40,869,8096561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2,15,15,300,173460,580,0,0,11,10,0,0,4,50,941,5582781,1092586,0,0,12,1,0,0,0,0,37440,0,0,0,1,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,1,1,562,213400,597,0,0,4,3,13,0,3,24,908,7012500,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,10,6,6,820,286200,612,0,0,16,6,2,0,3,17,967,9151230,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,106,33,33,520,937600,1163,46,0,22,17,1,0,7,60,2229,19187125,12753587,25479507,0,12,75,85,22,22,60,780000,1105,84,0,7,5,0,0,7,10,1328,8,45,180,27,27,2440,2129000,1500,179,1,41,22,0,0,4,134,2604,7
60,2,0,0,0,96500,269,0,0,0,0,3,0,3,40,631,2670031,3686814,1856525,0,5,10,1,0,0,800,123420,477,0,0,12,11,0,0,1,42,378,5,65,0,0,0,0,132480,512,0,0,1,0,3,0,2,0,363,1
308,5,40,40,3780,1422700,4076,5,1,10,7,7,0,10,145,3259,28875283,6380614,4157708,0,13,105,4,20,20,2803,886500,2226,4,2,0,0,3,0,7,80,1410,6,29,0,11,11,0,456300,1336,0,0,0,0,1,0,2,80,775,6
49,0,3,3,0,64220,188,0,0,0,0,1,0,2,41,581,3209405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,3,1,1,300,146300,962,0,0,6,4,15,0,9,33,799,10297155,602081,0,0,9,11,2,0,0,0,11220,288,0,0,0,0,2,0,2,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,620,247820,657,0,0,8,6,0,0,8,80,1003,5325712,1082262,0,0,5,7,0,0,0,60,44580,32,0,0,3,1,0,0,1,8,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,31,0,0,0,106020,156,25,0,0,0,0,0,2,35,741,5848446,868853,0,0,0,19,2,0,0,0,30080,195,0,0,2,2,0,0,1,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
