,Unnamed: 0,gaid,country,level_cnt,ads_cnt,pvp_cnt,pvp_won_cnt,gem_spend,coin_spend,gem_earn,ads_reward_cnt,org_hero_cnt,level_e_try_cnt,level_e_cnt,idle_cnt,purchase_times,login_cnt,level_h_cnt,log_num,pvp-unlock,hunt-unlock,exp-unlock,label
85,85,9960410a-bb6d-4cdd-ba46-2d02a181417d,US,71,13,7,7,695,100500,496,12,0,1,0,0,0,5,33,753,1,1,1,0
86,86,68181255-99e6-445b-9e6e-0256354c156d,CI,52,0,17,17,500,89500,288,0,0,0,0,0,0,2,40,710,1,1,0,0
87,87,8caca17d-931a-4301-bacb-a841dd38dbc4,RU,36,55,0,0,0,96500,221,37,0,0,0,0,0,3,21,778,1,1,0,0
88,88,522c086f-bd99-4766-b0b4-bb7bbb9c87cc,UA,69,0,8,8,980,193800,598,0,0,4,3,15,0,2,58,1008,1,1,0,0
89,89,19ff3742-ff55-4ff3-8907-45ec00905494,ES,130,3,0,0,0,146300,748,0,1,2,2,10,0,4,20,1041,1,1,1,0
90,90,1173365e-34cf-439a-9f69-0dc468557b7c,UA,48,31,2,2,0,169160,507,0,0,0,0,10,0,3,74,954,1,1,0,0
91,91,68a7f2d7-1940-4cc6-86a2-dcbc6eb321f9,SA,39,0,24,24,1070,277400,875,0,0,0,0,11,0,13,104,1160,1,1,0,0
92,92,0dcbab8b-d12f-4467-8a39-946d2b41c27d,EG,81,7,0,0,0,80020,124,0,0,0,0,1,0,6,1,600,1,1,1,0
93,93,f6c3e496-7461-46b4-b63e-5de746511c21,MX,73,5,0,0,1160,263800,804,1,0,4,3,7,0,7,54,935,1,1,1,0
94,94,8fcfa178-84ee-427d-b5f8-a469288fbc46,ES,78,1,0,0,0,71660,361,1,0,7,5,10,0,5,16,607,1,1,1,0
95,95,43e89d55-1a88-4e30-b1ba-52327ac083b9,BR,86,0,0,0,0,135500,438,0,0,7,7,3,0,3,6,632,1,1,1,0
96,96,c9c5fe72-9269-47fa-989c-8599840ca283,RS,62,0,26,26,190,207200,476,0,0,0,0,8,0,4,45,943,1,1,0,0
97,97,5d7deb9b-7749-4450-b73b-db356c671b42,IR,82,0,0,0,770,271600,451,0,0,94,50,0,0,20,45,1079,1,1,1,0
98,98,1a8a2f13-f8cb-4997-a896-0dc6194fc36a,KR,89,0,5,5,2274,1305300,3403,0,0,18,9,6,0,10,219,1869,1,1,1,0
99,99,39b4d224-8a21-4b9b-a776-cdee910c5c27,PE,68,1,3,3,1000,194200,842,0,0,0,0,8,0,10,84,1047,1,1,0,0
100,100,ba56e400-b3da-4ecc-a824-b30d11943b14,MX,76,6,0,0,400,169160,443,0,0,9,6,1,0,6,37,818,1,1,1,0
101,101,41e1f08c-4066-42ee-a153-8b907ede3411,MX,68,59,0,0,0,135500,120,22,0,0,0,0,0,2,0,765,1,1,0,0
102,102,67447d4c-67da-404d-aa47-603967c6247b,RS,64,4,16,16,1100,275320,852,0,0,0,0,4,0,3,80,1085,1,1,0,0
103,103,c946ee07-b2c7-4f90-9cbd-7b6dd1d9225e,AR,69,7,0,0,0,87800,288,0,0,2,1,0,0,4,40,715,1,1,0,0
