level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
131,1,0,0,400,624400,1542,0,0,84,51,0,0,5,120,1744,23943629,23553902,23971277,0,9,215,0,0,0,760,840000,1320,0,0,63,42,0,0,8,0,1453,0,94,0,0,0,0,420000,625,0,0,102,70,0,0,7,0,842,3,1,1,1,0
140,37,34,34,1620,708600,1629,0,0,8,6,7,0,5,63,1868,13750932,524902,4603974,0,13,14,0,0,0,500,27000,277,0,0,0,0,2,0,2,0,93,0,41,21,14,14,500,515700,895,0,0,0,0,2,0,6,36,736,7,1,1,1,0
8,0,0,0,0,2160,0,0,0,0,0,0,0,1,0,60,244466,0,44260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0
190,20,5,5,2410,769900,2069,11,0,10,6,9,0,6,83,1885,11150037,2240120,0,0,12,11,0,0,0,0,54000,169,0,1,8,5,1,0,0,0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
148,37,1,1,612,563600,1262,0,0,16,14,9,0,6,51,1561,13175943,12154900,15355263,0,6,142,13,47,47,1624,991200,2791,0,0,5,1,13,0,7,100,1914,13,233,19,41,41,4198,1107900,2222,0,0,4,0,11,0,7,0,2044,7,1,1,1,0
87,62,1,1,0,52600,708,62,1,4,3,0,1,6,40,1187,6536083,253743,15389313,5,5,0,2,0,0,0,0,15,2,0,0,0,0,0,1,0,19,1,13,13,0,0,1280,511800,780,14,0,59,27,0,0,7,60,740,5,1,1,1,0
47,0,0,0,100,51100,182,0,0,0,0,4,0,5,5,360,2361003,599360,230351,0,6,6,0,0,0,60,6600,130,0,0,0,0,2,0,2,0,55,1,5,0,0,0,0,14460,100,0,0,0,0,1,0,1,0,40,2,1,1,0,0
70,13,0,0,0,96500,263,0,0,6,4,5,0,2,0,589,3992183,0,96882,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,72,0,0,0,0,1,0,1,0,19,0,1,1,1,0
32,1,0,0,0,11520,4,0,0,0,0,0,0,1,1,212,1443144,511128,12410,0,0,9,0,0,0,0,6540,0,0,0,0,0,0,0,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0
10,0,0,0,350,21900,70,0,0,0,0,2,0,2,0,102,570847,1764838,3451734,0,3,14,0,0,0,350,72700,278,0,0,0,0,1,0,1,41,367,6,28,4,3,3,1200,105260,1269,0,1,0,0,3,1,4,28,439,7,1,1,0,0
