gaid,country,level_cnt,ads_cnt,pvp_cnt,pvp_won_cnt,gem_spend,coin_spend,gem_earn,ads_reward_cnt,org_hero_cnt,level_e_try_cnt,level_e_cnt,idle_cnt,purchase_times,login_cnt,level_h_cnt,log_num
e3fc9a4c-c495-4855-9cfe-09a9d9d388a2,MM,72,1,0,0,117,71960,190,0,0,0,0,0,0,3,0,484
02b13ef0-4542-4162-a3b8-a966f7f6a3c5,CO,122,3,0,0,650,249620,904,0,0,3,3,8,0,5,39,1071
1d178af5-bb0e-42ce-8022-674ed904ecd3,TR,135,0,0,0,1190,412400,1476,0,1,5,4,6,0,16,19,1116
f561968b-a9a0-4ecb-a9c9-f486eb916e5e,RU,100,1,0,0,0,133500,342,0,0,0,0,0,0,4,20,717
0a842994-ca58-4c79-ad5e-d1c5ceed437a,MX,90,8,6,6,710,163000,592,1,0,8,6,6,0,3,12,766
f324764b-1216-44cc-800b-c289cd677932,CZ,85,23,15,15,700,234060,545,1,0,7,4,13,0,1,40,1075
d0c0651e-ebff-4a97-abe4-98c5ee31c017,RU,60,70,5,5,650,100820,283,9,0,0,0,1,0,8,40,1132
d77b9c1a-83e0-42c1-9290-2d7b2c79e12a,GR,62,48,4,4,300,181220,217,33,0,0,0,7,0,3,20,881
099a7b29-c4e7-49e5-abc7-0d389cbea22e,UA,72,2,23,23,390,132420,394,0,0,0,0,19,0,3,40,950
e729feff-4c88-4615-9c1f-aa7151ae89be,DE,99,1,6,6,460,206700,672,1,1,4,2,4,0,11,25,925
1723830a-36a7-4f8a-ac9b-857122af9276,BY,83,8,7,7,500,157520,387,1,0,2,1,4,0,3,40,915
c4517d3a-d2a1-40a6-8efd-9ef2addcf75f,UZ,68,2,0,0,400,87800,245,0,0,0,0,10,0,6,27,656
a110e513-3b7e-459d-aced-98698aa509c9,IQ,70,10,14,14,0,169660,430,0,0,0,0,23,0,7,5,799
c7f11cfd-34a4-4414-972c-a1e86de81147,US,92,5,17,17,663,233660,789,5,0,0,0,18,0,1,37,991
d1451506-b2b3-4b79-b663-2ae9c4b3efc6,US,55,94,9,9,0,262400,328,94,0,0,0,0,0,2,40,1262
e086d74c-5b9b-4d84-a628-e6392162ef2a,IN,81,5,7,7,760,139900,461,0,0,0,0,7,0,7,14,728
52ba5e14-b81c-4fe4-80da-198d4150d7d0,US,65,1,10,10,0,118460,288,0,0,0,0,0,0,1,40,912
f4d2faec-cb22-4adb-b474-e57bbcfbb40c,US,70,1,1,1,650,115160,398,0,0,8,6,0,0,2,40,750
b527d424-5120-4358-bc8b-c4512fc6be48,IN,70,0,1,1,0,115160,430,0,0,13,11,0,0,13,22,667
48b1d05b-1d64-4ead-869d-b382cc894f58,PL,71,4,20,20,1010,268200,636,1,0,9,7,5,0,3,26,884
a39a8e5a-12df-44c7-a06c-70d53e981056,PL,63,0,28,28,670,169160,311,0,0,0,0,15,0,5,40,895
b6d84a57-8752-4c70-8912-9f65146def41,EG,77,7,0,0,0,115160,210,0,0,7,6,11,0,6,13,633
4ea53468-98c8-409d-bec2-c141243dcdb0,US,70,22,0,0,450,125720,462,22,1,15,8,1,1,1,5,694
831a3bcf-ea74-47e9-95be-909371e1102b,MX,57,67,0,0,200,169160,161,27,0,0,0,3,0,5,20,948
879876f1-70a3-4cc5-a5fd-fc607261fe01,MX,70,1,0,0,0,84200,428,0,0,3,2,0,0,4,40,732
c2f46024-5e07-480c-9481-4c104a1c1079,TR,82,11,2,2,1210,208400,902,11,0,10,6,10,0,7,40,940
e4e97154-5fe7-4c5b-ba6b-9de2ffa5fcd5,CO,47,37,0,0,0,146300,178,1,0,0,0,4,0,4,40,757
e3952b0c-5ed4-4761-85fc-c05a2c7c11eb,ID,84,0,8,8,0,115160,304,0,0,3,2,4,0,2,19,774
ae79a966-899b-490e-bac7-dbd84ec73886,IT,150,0,1,1,120,397400,953,0,0,2,1,1,0,9,6,1058
3638f7fd-61e3-4b04-9638-0f6cfdb629fa,IT,74,33,0,0,1000,277400,1056,33,0,1,1,7,0,8,93,1445
bf23cd88-42f3-4701-84c5-a3c512f9f28b,TN,63,0,0,0,0,85800,172,0,0,0,0,0,0,8,39,845
8f5bd60b-98a0-4273-84e4-6e58f10b50d1,UZ,70,2,6,6,554,194000,402,2,1,8,5,2,0,10,8,728
efa5b276-14e7-4c98-91c4-5e21ccfd354c,NO,69,0,7,7,0,105620,531,0,0,12,9,4,0,2,26,684
f658f703-faec-4f30-a12d-332dc2b59d91,BA,82,3,20,20,0,367400,702,0,0,9,10,2,0,3,40,998
372b82ec-c69c-48e2-9e26-371632a252ba,IR,55,1,1,1,520,72160,168,0,0,0,0,0,0,15,41,689
a4fc7b80-e458-421e-be3c-303415d0f316,FR,99,6,1,1,0,382400,948,0,0,6,5,1,0,3,104,1316
dec50e45-7cb2-4905-b2bd-ab05ee92cd7d,IT,41,36,2,2,0,105620,182,4,0,0,0,4,0,2,15,660
096ad180-b8e8-4b4e-89ac-a3f3925484c2,CA,92,2,5,5,760,157520,413,0,1,4,3,6,0,3,10,741
c7c81541-3ea9-4276-ae57-e2d598eaca1d,BR,84,7,12,12,1000,307400,1175,0,0,2,2,7,0,7,87,1273
c5e754f8-8ff5-41d5-bca2-c63a99eb4ebf,ES,69,0,0,0,0,79520,308,0,0,7,5,0,0,1,40,728
e5656e66-d2a6-4d90-bff4-d63e973f2b5b,BR,50,61,0,0,60,57200,216,0,0,0,0,10,0,6,16,805
8b48b8e1-6fef-4da6-abab-b0c70e8f1050,IT,70,4,4,4,400,125120,357,0,0,0,0,3,0,2,20,661
1e5defc7-233a-4a58-998c-69a280256d36,BR,54,32,7,7,0,157520,403,0,0,0,0,6,0,4,36,835
cf7fb5ef-483a-4a43-b6de-d6316bf4c482,MX,72,29,0,0,300,233660,361,4,0,2,1,3,0,1,22,785
a94dfdf7-ece7-4480-bf37-dd8e34442564,IT,65,45,0,0,240,182520,474,1,0,0,0,11,0,2,40,908
493ad3f4-0c48-4af0-8aa2-2b9304dab208,FR,55,73,0,0,0,126920,106,54,0,0,0,0,0,2,23,992
0489e4e3-d0fe-43d6-a970-e0e5cb01fd96,US,74,3,0,0,1110,196660,807,0,0,0,0,10,0,10,40,834
22b904fb-e2ed-4919-9468-46c6fdf86f56,MX,93,54,0,0,0,125220,518,14,0,0,0,0,0,2,40,1104
6b9e5c07-52e8-488b-9de6-20d74a73df82,TW,111,9,0,0,599,188020,660,3,0,2,2,32,0,3,1,763
